,Unnamed: 0,title,year,language,time,rate,people
253,253,少年的你,2019,汉语普通话,135分钟,8.3,697325
47,47,飞驰人生,2019,汉语普通话 / 英语,98分钟,6.9,674845
259,259,芳华,2017,汉语普通话,136分钟,7.6,612997
261,261,夏洛特烦恼,2015,汉语普通话,104分钟,7.6,597377
55,55,无问西东,2018,汉语普通话,138分钟,7.6,552993
243,243,后会无期,2014,汉语普通话 / 手语 / 粤语,104分钟,7.1,501790
183,183,失恋33天,2011,汉语普通话,110分钟,7.2,499101
21,21,七月与安生,2016,汉语普通话,109分钟,7.6,450107
277,277,乘风破浪,2017,汉语普通话,102分钟,6.8,436416
163,163,阳光灿烂的日子,1994,汉语普通话,134分钟(中国大陆),8.8,407773
244,244,超时空同居,2018,汉语普通话,101分钟,6.8,396865
37,37,大鱼海棠,2016,汉语普通话,105分钟,6.8,361456
184,184,狗十三,2013,汉语普通话 / 西安话,120分钟,8.2,354037
82,82,春娇与志明 春嬌與志明,2012,粤语 / 汉语普通话,111分钟,7.3,322932
12,12,滚蛋吧！肿瘤君,2015,汉语普通话 / 英语 / 韩语,128分钟,7.4,314658
52,52,重返20岁,2015,汉语普通话,131分钟,7.1,291767
193,193,火锅英雄,2016,汉语普通话 / 重庆话,98分钟,7.2,271256
240,240,快把我哥带走,2018,汉语普通话,115分钟,6.9,270720
38,38,喜欢你,2017,汉语普通话,106分钟,6.8,245550
95,95,山楂树之恋,2010,汉语普通话,114分钟,6.8,239035
40,40,李米的猜想,2008,汉语普通话,96分钟,7.9,230172
281,281,爱 愛,2012,汉语普通话,128分钟(台湾),6.9,209370
57,57,你好，之华,2018,汉语普通话,114分钟,6.7,208781
146,146,闪光少女,2017,汉语普通话,103分钟,7.3,193584
145,145,如果·爱,2005,汉语普通话 / 粤语 / 英语,108分钟,7.7,185519
150,150,嘉年华,2017,汉语普通话,107分钟,8.2,185269
251,251,老师·好,2019,汉语普通话,111分钟,6.7,183760
180,180,独自等待,2004,汉语普通话,107 分钟,8.2,170766
80,80,太阳照常升起,2007,汉语普通话 / 温州话 / 俄语 / 维吾尔语,116 分钟,8.2,163182
164,164,过春天,2018,汉语普通话 / 粤语,99分钟,7.7,162127
17,17,夜·店,2009,汉语普通话,94分钟,6.7,147696
247,247,激战 激戰,2013,粤语 / 汉语普通话,121分钟(中国大陆),7.9,145717
181,181,黄金时代,2014,汉语普通话 / 粤语 / 上海话 / 武汉话 / 四川话 / 俄语 / 日语,179分钟,7.3,136119
33,33,苏州河,2000,汉语普通话,83 分钟,8,129611
294,294,天台爱情,2013,汉语普通话,117分钟,6.7,127251
197,197,有话好好说,1997,汉语普通话,90分钟,8.2,125002
22,22,星空,2011,汉语普通话,98分钟,7.1,117638
61,61,一个陌生女人的来信,2004,汉语普通话,89分钟,7.5,110415
292,292,青春派,2013,汉语普通话,91分钟,7.4,109164
198,198,破风 破風,2015,汉语普通话 / 韩语 / 英语 / 意大利语,126分钟,7.3,108338
287,287,大象席地而坐,2018,汉语普通话,234分钟(导演剪辑版),8.1,102027
1,1,十七岁的单车,2001,汉语普通话,113分钟,7.8,94774
91,91,孔雀,2005,汉语普通话 / 晋语,136分钟,8,94620
42,42,我的父亲母亲,1999,汉语普通话,89分钟,8,93176
87,87,我们俩,2005,汉语普通话,88分钟,8.7,87655
274,274,转山,2011,汉语普通话 / 藏语,90分钟,7.9,82520
89,89,小武,1998,晋语 / 汉语普通话,108分钟,8.4,78838
138,138,春风沉醉的夜晚,2009,汉语普通话 / 粤语,106分钟,8,71664
30,30,那山那人那狗,1999,汉语普通话,93分钟,8.6,69952
41,41,80'后,2009,汉语普通话,105分钟,7,68267
44,44,顽主,1988,汉语普通话,100分钟,8.4,58250
79,79,我11,2011,汉语普通话 / 上海话,110分钟,7.3,51908
149,149,茉莉花开,2004,汉语普通话 / 上海话,130分钟,7.3,45239
63,63,站台,2000,汉语普通话 / 晋语,154分钟,8.3,43218
273,273,青红,2005,汉语普通话 / 上海话,116分钟(中国大陆),7,41641
248,248,开往春天的地铁,2002,汉语普通话,93分钟,7,38009
210,210,恋爱地图 戀愛地圖,2005,日语 / 汉语普通话,102分钟,7.3,36338
16,16,巴尔扎克与小裁缝,2002,中文 / 法语,110 分钟,7.9,34567
